model,dom_general,dom_medical,dom_social,train_scratch,size,arc
BERT,1,0,0,1,2,1
DISTILBERT,1,0,0,1,1,1
SPANBERT,1,0,0,1,2,1
ROBERTA,1,0,0,1,2,1
ELECTRA,1,0,0,1,2,1
ALBERT,1,0,0,1,1,1
XLNET,1,0,0,1,2,2
GPT2,1,0,0,1,2,2
T5,1,0,0,1,3,3
PEGASUS,1,0,0,1,3,3
BART,1,0,0,1,2,3
BERTWEET,0,0,1,1,3,1
BIOBERT,1,1,0,0,2,1
BIOCLINICALBERT,1,1,0,0,2,1
SCIBERT,0,1,0,1,2,1
PUBMEDBERT,0,1,0,1,2,1
ENDRBERT,0,1,1,0,3,1
BIOELECTRA,0,1,0,1,2,1
BIOROBERTA,1,1,0,0,2,1
SCIFIVE,1,1,0,0,3,3
