,dom_medical,dom_social,train_scratch,size,dom_general,model,arc,f1
0,0.0,0.0,1.0,2.0,1.0,BERT,1.0,0.7096774193548386
1,0.0,0.0,1.0,2.0,1.0,BERT,1.0,0.7113402061855669
2,0.0,0.0,1.0,2.0,1.0,BERT,1.0,0.6993987975951903
3,0.0,0.0,1.0,2.0,1.0,BERT,1.0,0.6944444444444444
4,0.0,0.0,1.0,2.0,1.0,BERT,1.0,0.6992031872509962
5,0.0,0.0,1.0,2.0,1.0,BERT,1.0,0.7109704641350211
6,0.0,0.0,1.0,2.0,1.0,BERT,1.0,0.7017543859649122
7,0.0,0.0,1.0,2.0,1.0,BERT,1.0,0.6976284584980238
8,0.0,0.0,1.0,2.0,1.0,BERT,1.0,0.6912350597609562
9,0.0,0.0,1.0,2.0,1.0,BERT,1.0,0.7051546391752577
10,0.0,0.0,1.0,2.0,1.0,BERT,1.0,0.7166324435318274
11,0.0,0.0,1.0,2.0,1.0,BERT,1.0,0.6984126984126985
12,0.0,0.0,1.0,2.0,1.0,BERT,1.0,0.6995884773662552
13,0.0,0.0,1.0,2.0,1.0,BERT,1.0,0.6876310272536688
14,0.0,0.0,1.0,2.0,1.0,BERT,1.0,0.7042253521126761
15,0.0,0.0,1.0,2.0,1.0,BERT,1.0,0.6924643584521385
16,0.0,0.0,1.0,2.0,1.0,BERT,1.0,0.7038539553752535
17,0.0,0.0,1.0,2.0,1.0,BERT,1.0,0.698
18,0.0,0.0,1.0,2.0,1.0,BERT,1.0,0.7244258872651357
19,0.0,0.0,1.0,2.0,1.0,BERT,1.0,0.6968421052631579
20,0.0,0.0,1.0,2.0,1.0,BERT,1.0,0.7039337474120082
21,0.0,0.0,1.0,2.0,1.0,BERT,1.0,0.7056451612903225
22,0.0,0.0,1.0,2.0,1.0,BERT,1.0,0.7151767151767152
23,0.0,0.0,1.0,2.0,1.0,BERT,1.0,0.68937875751503
24,0.0,0.0,1.0,2.0,1.0,BERT,1.0,0.6987951807228916
25,0.0,0.0,1.0,2.0,1.0,BERT,1.0,0.7096114519427402
26,0.0,0.0,1.0,2.0,1.0,BERT,1.0,0.6918367346938775
27,0.0,0.0,1.0,2.0,1.0,BERT,1.0,0.7018255578093306
28,0.0,0.0,1.0,2.0,1.0,BERT,1.0,0.7068607068607069
29,0.0,0.0,1.0,2.0,1.0,BERT,1.0,0.6970954356846473
30,0.0,0.0,1.0,1.0,1.0,DISTILBERT,1.0,0.6911764705882354
31,0.0,0.0,1.0,1.0,1.0,DISTILBERT,1.0,0.6742268041237113
32,0.0,0.0,1.0,1.0,1.0,DISTILBERT,1.0,0.6866952789699571
33,0.0,0.0,1.0,1.0,1.0,DISTILBERT,1.0,0.6885593220338984
34,0.0,0.0,1.0,1.0,1.0,DISTILBERT,1.0,0.6804347826086957
35,0.0,0.0,1.0,1.0,1.0,DISTILBERT,1.0,0.6789366053169735
36,0.0,0.0,1.0,1.0,1.0,DISTILBERT,1.0,0.6919739696312364
37,0.0,0.0,1.0,1.0,1.0,DISTILBERT,1.0,0.6819172113289761
38,0.0,0.0,1.0,1.0,1.0,DISTILBERT,1.0,0.6972281449893389
39,0.0,0.0,1.0,1.0,1.0,DISTILBERT,1.0,0.6824742268041237
40,0.0,0.0,1.0,1.0,1.0,DISTILBERT,1.0,0.6660039761431411
41,0.0,0.0,1.0,1.0,1.0,DISTILBERT,1.0,0.6875
42,0.0,0.0,1.0,1.0,1.0,DISTILBERT,1.0,0.6809815950920246
43,0.0,0.0,1.0,1.0,1.0,DISTILBERT,1.0,0.6561844863731656
44,0.0,0.0,1.0,1.0,1.0,DISTILBERT,1.0,0.6767676767676767
45,0.0,0.0,1.0,1.0,1.0,DISTILBERT,1.0,0.690376569037657
46,0.0,0.0,1.0,1.0,1.0,DISTILBERT,1.0,0.6855345911949685
47,0.0,0.0,1.0,1.0,1.0,DISTILBERT,1.0,0.6795454545454546
48,0.0,0.0,1.0,1.0,1.0,DISTILBERT,1.0,0.6876267748478702
49,0.0,0.0,1.0,1.0,1.0,DISTILBERT,1.0,0.6939203354297694
50,0.0,0.0,1.0,1.0,1.0,DISTILBERT,1.0,0.6859504132231405
51,0.0,0.0,1.0,1.0,1.0,DISTILBERT,1.0,0.6791666666666668
52,0.0,0.0,1.0,1.0,1.0,DISTILBERT,1.0,0.6991701244813278
53,0.0,0.0,1.0,1.0,1.0,DISTILBERT,1.0,0.6864035087719299
54,0.0,0.0,1.0,1.0,1.0,DISTILBERT,1.0,0.6820083682008368
55,0.0,0.0,1.0,1.0,1.0,DISTILBERT,1.0,0.7027600849256901
56,0.0,0.0,1.0,1.0,1.0,DISTILBERT,1.0,0.7071583514099783
57,0.0,0.0,1.0,1.0,1.0,DISTILBERT,1.0,0.6894409937888198
58,0.0,0.0,1.0,1.0,1.0,DISTILBERT,1.0,0.6852248394004282
59,0.0,0.0,1.0,1.0,1.0,DISTILBERT,1.0,0.6841004184100419
60,0.0,0.0,1.0,2.0,1.0,SPANBERT,1.0,0.7136563876651981
61,0.0,0.0,1.0,2.0,1.0,SPANBERT,1.0,0.6803455723542117
62,0.0,0.0,1.0,2.0,1.0,SPANBERT,1.0,0.7042253521126761
63,0.0,0.0,1.0,2.0,1.0,SPANBERT,1.0,0.663286004056795
64,0.0,0.0,1.0,2.0,1.0,SPANBERT,1.0,0.6766595289079229
65,0.0,0.0,1.0,2.0,1.0,SPANBERT,1.0,0.6714285714285714
66,0.0,0.0,1.0,2.0,1.0,SPANBERT,1.0,0.6826722338204592
67,0.0,0.0,1.0,2.0,1.0,SPANBERT,1.0,0.7127882599580712
68,0.0,0.0,1.0,2.0,1.0,SPANBERT,1.0,0.6618556701030928
69,0.0,0.0,1.0,2.0,1.0,SPANBERT,1.0,0.6704545454545454
70,0.0,0.0,1.0,2.0,1.0,SPANBERT,1.0,0.6928104575163399
72,0.0,0.0,1.0,2.0,1.0,SPANBERT,1.0,0.6943231441048034
74,0.0,0.0,1.0,2.0,1.0,SPANBERT,1.0,0.7041942604856511
75,0.0,0.0,1.0,2.0,1.0,SPANBERT,1.0,0.6911764705882353
76,0.0,0.0,1.0,2.0,1.0,SPANBERT,1.0,0.6787234042553192
77,0.0,0.0,1.0,2.0,1.0,SPANBERT,1.0,0.6694045174537988
78,0.0,0.0,1.0,2.0,1.0,SPANBERT,1.0,0.7039473684210527
80,0.0,0.0,1.0,2.0,1.0,SPANBERT,1.0,0.7024070021881837
